date;India;Germany;Greece;Italy
2020-02-22;3;16;0;62
2020-02-23;3;16;0;155
2020-02-24;3;16;0;229
2020-02-25;3;16;0;322
2020-02-26;3;21;1;453
2020-02-27;3;26;3;655
2020-02-28;3;53;4;888
2020-02-29;3;66;4;1128
2020-03-01;3;117;7;1694
2020-03-02;5;150;7;2036
2020-03-03;5;188;7;2502
2020-03-04;28;240;9;3089
2020-03-05;30;349;31;3858
2020-03-06;31;534;45;4636
2020-03-07;34;684;46;5883
2020-03-08;39;847;73;7375
2020-03-09;43;1112;73;9172
2020-03-10;56;1296;89;10149
2020-03-11;62;1567;99;12462
2020-03-12;73;2369;99;15113
2020-03-13;82;3062;190;17660
2020-03-14;102;3795;228;21157
2020-03-15;113;4838;331;24747
2020-03-16;119;6012;331;27980
2020-03-17;142;7156;387;31506
2020-03-18;156;8198;418;35713
2020-03-19;194;10999;418;41035
2020-03-20;244;13957;495;47021
2020-03-21;330;16662;530;53578
2020-03-22;396;18610;624;59138
2020-03-23;499;22672;695;63927
2020-03-24;536;27436;743;69176
2020-03-25;657;31554;835;74386
2020-03-26;727;36508;835;80589
2020-03-27;887;42288;835;86498
2020-03-28;987;48582;835;92472
2020-03-29;1024;52547;1156;97689
2020-03-30;1251;57298;1156;101739
2020-03-31;1397;61913;1156;105792
2020-04-01;1998;67366;1156;110574
2020-04-02;2543;73522;1156;115242
2020-04-03;2567;79696;1613;119827
2020-04-04;3082;85778;1673;124632
2020-04-05;3588;91714;1735;128948
2020-04-06;4778;95391;1755;132547
2020-04-07;5311;99225;1832;135586
2020-04-08;5916;103228;1884;139422
2020-04-09;6725;108202;1955;143626
2020-04-10;7598;113525;2009;147577
2020-04-11;8446;117658;2081;152271
2020-04-12;9205;120479;2081;156363
2020-04-13;10453;123016;2145;159516
2020-04-14;11487;125098;2170;162488
2020-04-15;12322;127584;2192;165155
2020-04-16;13430;130450;2207;168941
2020-04-17;14352;133830;2224;172434
2020-04-18;15722;137439;2235;175925
2020-04-19;17615;139897;2245;178972
2020-04-20;18539;141672;2245;181228
2020-04-21;20080;143457;2401;183957
2020-04-22;21370;145694;2408;187327
2020-04-23;23077;148046;2463;189973
2020-04-24;24530;150383;2490;192994
2020-04-25;26283;152438;2506;195351
2020-04-26;27890;154175;2517;197675
2020-04-27;29451;155193;2534;199414
2020-04-28;31324;156337;2566;201505
2020-04-29;33062;157641;2576;203591
2020-04-30;34863;159119;2591;205463
2020-05-01;37257;160758;2612;207428
2020-05-02;39699;161703;2620;209328
2020-05-03;42505;162496;2626;210717
2020-05-04;46437;163175;2632;211938
2020-05-05;49400;163860;2642;213013
2020-05-06;52987;164807;2663;214457
2020-05-07;56351;166091;2678;215858
2020-05-08;59695;167300;2691;217185
2020-05-09;62808;168551;2710;218268
2020-05-10;67161;169218;2716;219070
2020-05-11;70768;169575;2726;219814
2020-05-12;74292;170508;2744;221216
2020-05-13;78055;171306;2760;222104
2020-05-14;81997;172239;2770;223096
2020-05-15;85784;173152;2810;223885
2020-05-16;90648;173772;2819;224760
2020-05-17;95698;174355;2834;225435
2020-05-18;100328;174697;2836;225886
2020-05-19;106475;175210;2840;226699
2020-05-20;112028;176007;2850;227364
2020-05-21;118226;176752;2853;228006
2020-05-22;124794;177212;2873;228658
2020-05-23;131423;177850;2876;229327
2020-05-24;138536;178281;2878;229858
2020-05-25;144950;178570;2882;230158
2020-05-26;150793;179002;2889;230555
2020-05-27;158086;179364;2903;231139
2020-05-28;165386;179717;2906;231732
2020-05-29;173491;180458;2909;232248
2020-05-30;181827;181196;2915;232664
2020-05-31;190609;181482;2917;232997
2020-06-01;198370;181815;2918;233197
2020-06-02;207191;182028;2937;233515
2020-06-03;216824;182370;2952;233836
2020-06-04;226713;182764;2952;234013
2020-06-05;236184;183271;3049;234531
2020-06-06;246622;183678;3049;234801
2020-06-07;257486;183979;3049;234998
2020-06-08;265928;184193;3049;235278
2020-06-09;276146;184543;3058;235561
2020-06-10;286605;184861;3068;235763
2020-06-11;297535;185416;3088;236142
2020-06-12;308993;185674;3108;236305
2020-06-13;320922;186022;3112;236651
2020-06-14;332424;186269;3121;236989
2020-06-15;343091;186461;3134;237290
2020-06-16;354065;186839;3148;237500
2020-06-17;366946;187184;3203;237828
2020-06-18;380532;187764;3227;238159
2020-06-19;395048;188534;3237;238011
2020-06-20;410451;189135;3256;238275
2020-06-21;425282;189822;3266;238499
2020-06-22;440215;190359;3287;238720
2020-06-23;456183;190862;3302;238833
2020-06-24;473105;191449;3310;239410
2020-06-25;490401;192079;3321;239706
2020-06-26;508953;192556;3343;239961
2020-06-27;528859;193243;3366;240136
2020-06-28;548318;193499;3376;240310
2020-06-29;566840;193761;3390;240436
2020-06-30;585481;194259;3409;240578
2020-07-01;604641;194725;3432;240760
2020-07-02;625544;195228;3458;240961
2020-07-03;648315;195674;3486;241184
2020-07-04;673165;196096;3511;241419
2020-07-05;697413;196335;3519;241611
2020-07-06;719664;196554;3562;241819
2020-07-07;742417;196944;3589;241956
2020-07-08;767296;197341;3622;242149
2020-07-09;793802;197783;3672;242363
2020-07-10;820916;198178;3732;242639
2020-07-11;849522;198556;3772;242827
2020-07-12;878254;198804;3803;243061
2020-07-13;906752;198963;3826;243230
2020-07-14;936181;199375;3883;243344
2020-07-15;968857;199726;3910;243506
2020-07-16;1003832;200260;3939;243736
2020-07-17;1039084;200843;3964;243967
2020-07-18;1077781;201372;3983;244216
2020-07-19;1118206;201574;4007;244434
2020-07-20;1155338;201823;4012;244624
2020-07-21;1193078;202345;4048;244752
2020-07-22;1238798;202799;4077;245032
2020-07-23;1288108;203368;4110;245338
2020-07-24;1337024;204183;4135;245590
2020-07-25;1385635;204964;4166;245864
2020-07-26;1435616;205269;4193;246118
2020-07-27;1480073;205609;4227;246286
2020-07-28;1531669;206242;4279;246488
2020-07-29;1581963;206926;4336;246776
2020-07-30;1634746;207828;4401;247158
2020-07-31;1695988;208698;4477;247537
2020-08-01;1750723;209653;4587;247832
2020-08-02;1803695;209893;4662;248070
2020-08-03;1855745;210402;4737;248229
2020-08-04;1908254;211281;4855;248419
2020-08-05;1964536;212022;4973;248803
2020-08-06;2027074;213067;5123;249204
2020-08-07;2088611;214214;5270;249756
2020-08-08;2153010;215336;5421;250103
2020-08-09;2215074;215891;5623;250566
2020-08-10;2268675;216327;5749;250825
2020-08-11;2329638;217293;5942;251237
2020-08-12;2396637;218519;6177;251713
2020-08-13;2461190;219964;6381;252235
2020-08-14;2525922;221413;6632;252809
2020-08-15;2589952;222828;6858;253438
2020-08-16;2647663;223453;7075;253915
2020-08-17;2702681;224014;7222;254235
2020-08-18;2767253;225404;7472;254636
2020-08-19;2836925;226914;7684;255278
2020-08-20;2905825;228621;7934;256118
2020-08-21;2975701;230048;8138;257065
2020-08-22;3044940;232082;8381;258136
2020-08-23;3106348;232864;8664;259345
2020-08-24;3167323;233575;8819;260298
2020-08-25;3224547;234853;8987;261174
2020-08-26;3310234;236429;8987;262540
2020-08-27;3387500;237936;9531;263949
2020-08-28;3463972;239507;9800;265409
2020-08-29;3542733;240986;9977;266853
2020-08-30;3621245;241771;10134;268218
2020-08-31;3691166;242381;10317;269214
2020-09-01;3769523;243599;10524;270189
2020-09-02;3853406;244855;10757;271515
2020-09-03;3936747;246166;10998;272912
2020-09-04;4023179;247619;11200;274644
2020-09-05;4113811;248997;11386;276338
2020-09-06;4204613;249985;11524;277634
2020-09-07;4280422;250799;11663;278784
2020-09-08;4370128;252298;11832;280153
2020-09-09;4465863;253474;12080;281583
2020-09-10;4562414;255366;12452;283180
2020-09-11;4659984;256850;12734;284796
2020-09-12;4754356;258480;13036;286297
2020-09-13;4846427;259428;13240;287753
2020-09-14;4930236;260355;13420;288761
2020-09-15;5020359;261762;13730;289990
2020-09-16;5118253;263663;14041;291442
2020-09-17;5214677;265857;14400;293025
2020-09-18;5308014;267773;14738;294932
2020-09-19;5400619;270070;14978;296569
2020-09-20;5487580;271415;15142;298156
2020-09-21;5562663;272337;15595;299506
2020-09-22;5646010;274158;15928;300897
2020-09-23;5732518;275927;16286;302537
2020-09-24;5818570;278070;16627;304323
2020-09-25;5903932;280223;16913;306235
2020-09-26;5992532;282730;17228;308104
2020-09-27;6074702;284140;17444;309870
2020-09-28;6145291;285332;17707;311364
2020-09-29;6225763;287421;18123;313011
2020-09-30;6312584;289219;18475;314861
2020-10-01;6394068;291722;18886;317409
2020-10-02;6473544;294395;19346;319908
2020-10-03;6549373;296958;19613;322751
2020-10-04;6623815;299237;19842;325329
2020-10-05;6685082;300619;20142;327586
2020-10-06;6757131;303258;20541;330263
2020-10-07;6835655;306086;20947;333940
2020-10-08;6906151;310144;21381;338398
2020-10-09;6979423;314660;21772;343770
2020-10-10;7053806;319381;22078;349494
2020-10-11;7120538;322864;22358;354950
2020-10-12;7175880;325331;22652;359569
2020-10-13;7239389;329453;23060;365467
2020-10-14;7307097;334585;23495;372799
2020-10-15;7370468;341223;23947;381602
2020-10-16;7432680;348557;24450;391611
2020-10-17;7494551;356387;24932;402536
2020-10-18;7550273;361974;25370;414241
2020-10-19;7597063;366299;25802;423578
2020-10-20;7651107;373167;26469;434449
2020-10-21;7706946;380762;27334;449648
2020-10-22;7761312;392049;28216;465726
2020-10-23;7814682;403291;29057;484869
2020-10-24;7864811;418005;29992;504509
2020-10-25;7909959;429181;30782;525782
2020-10-26;7946429;437866;31496;542789
2020-10-27;7990322;449275;32752;564778
2020-10-28;8040203;464239;34299;589766
2020-10-29;8088851;481013;35510;616595
2020-10-30;8137119;499694;37196;647674
2020-10-31;8184082;518753;39251;679430
2020-11-01;8229313;532930;40929;709335
2020-11-02;8267623;545027;42080;731588
2020-11-03;8313876;560379;44246;759829
2020-11-04;8364086;577593;46892;790377
2020-11-05;8411724;597583;49807;824879
2020-11-06;8462080;619089;52254;862681
2020-11-07;8507754;642488;54809;902490
2020-11-08;8553657;658505;56698;935104
2020-11-09;8591730;671868;58187;960373
2020-11-10;8636011;687200;60570;995463
2020-11-11;8683916;705687;63321;1028424
2020-11-12;8728795;727553;66637;1066401
2020-11-13;8773479;751095;69675;1107303
2020-11-14;8814579;773556;72510;1144552
2020-11-15;8845127;790503;74205;1178529
2020-11-16;8874290;801327;76403;1205881
2020-11-17;8912907;815746;78825;1238072
2020-11-18;8958483;833307;82034;1272352
2020-11-19;9004365;855916;85261;1308528
2020-11-20;9050597;879564;87812;1345767
2020-11-21;9095806;902528;90121;1380531
2020-11-22;9139865;918269;91619;1408868
2020-11-23;9177840;929133;93006;1431795
2020-11-24;9222216;942687;95137;1455022
2020-11-25;9266705;961320;97288;1480874
2020-11-26;9309787;983588;99306;1509875
2020-11-27;9351109;1006394;101287;1538217
2020-11-28;9392919;1028089;103034;1564532
2020-11-29;9431691;1042700;104227;1585178
2020-11-30;9462809;1053869;105271;1601554
